"teff","logg","feh","alphafe","bcg"
2500,3.5,0,0,-2.534
2500,3.5,0.25,0,-2.602
2500,3.5,0.5,0,-2.658
2500,3.5,0.75,0,-2.7
2500,3.5,1,0,-2.732
2500,3.5,-0.25,0,-2.45
2500,3.5,-0.25,0.1,-2.401
2500,3.5,-0.5,0,-2.35
2500,3.5,-0.5,0.2,-2.298
2500,3.5,-0.75,0,-2.229
2500,3.5,-0.75,0.3,-2.211
2500,3.5,-1,0,-2.084
2500,3.5,-1,0.4,-2.133
2500,3.5,-1.5,0,-1.746
2500,3.5,-1.5,0.4,-1.913
2500,3.5,-2,0,-1.392
2500,3.5,-2,0.4,-1.602
2500,3.5,-2.5,0,-1.074
2500,3.5,-2.5,0.4,-1.257
2500,3.5,-3,0.4,-0.942
2500,3.5,-3.5,0,-0.592
2500,4,0,0,-2.547
2500,4,0.25,0,-2.602
2500,4,0.5,0,-2.635
2500,4,0.75,0,-2.648
2500,4,1,0,-2.64
2500,4,-0.25,0,-2.463
2500,4,-0.25,0.1,-2.413
2500,4,-0.5,0,-2.349
2500,4,-0.5,0.2,-2.308
2500,4,-0.75,0,-2.203
2500,4,-1,0,-2.031
2500,4,-1,0.4,-2.128
2500,4,-1.5,0,-1.653
2500,4,-1.5,0.4,-1.855
2500,4,-2,0,-1.279
2500,4,-2,0.4,-1.496
2500,4,-2.5,0,-0.95
2500,4,-2.5,0.4,-1.127
2500,4,-3,0.4,-0.801
2500,4.5,0,0,-2.57
2500,4.5,0.25,0,-2.629
2500,4.5,0.5,0,-2.655
2500,4.5,0.75,0,-2.651
2500,4.5,1,0,-2.623
2500,4.5,-0.25,0,-2.47
2500,4.5,-0.25,0.1,-2.429
2500,4.5,-0.5,0,-2.331
2500,4.5,-0.75,0,-2.158
2500,4.5,-0.75,0.3,-2.208
2500,4.5,-1,0,-1.963
2500,4.5,-1,0.4,-2.103
2500,4.5,-1.5,0,-1.556
2500,4.5,-1.5,0.4,-1.77
2500,4.5,-2,0,-1.169
2500,4.5,-2,0.4,-1.376
2500,4.5,-2.5,0,-0.834
2500,5,0,0,-2.587
2500,5,0.25,0,-2.664
2500,5,0.5,0,-2.694
2500,5,0.75,0,-2.687
2500,5,1,0,-2.647
2500,5,-0.25,0,-2.463
2500,5,-0.25,0.1,-2.436
2500,5,-0.5,0.2,-2.305
2500,5,-0.75,0,-2.1
2500,5,-0.75,0.3,-2.179
2500,5,-1,0,-1.889
2500,5,-1.5,0,-1.461
2500,5,-1.5,0.4,-1.67
2500,5,-2,0,-1.067
2500,5,-2,0.4,-1.253
2500,5,-2.5,0.4,-0.868
2500,5.5,0,0,-2.59
2500,5.5,0.25,0,-2.69
2500,5.5,0.5,0,-2.739
2500,5.5,0.75,0,-2.738
2500,5.5,1,0,-2.696
2500,5.5,-0.25,0,-2.439
2500,5.5,-0.25,0.1,-2.426
2500,5.5,-0.5,0,-2.251
2500,5.5,-0.5,0.2,-2.279
2500,5.5,-0.75,0,-2.039
2500,5.5,-0.75,0.3,-2.134
2500,5.5,-1,0,-1.816
2500,5.5,-1.5,0,-1.375
2500,5.5,-2,0,-0.973
2500,5.5,-2,0.4,-1.135
2500,5.5,-2.5,0.4,-0.751
2525,3.5,0,0,-2.473
2525,3.5,0.25,0,-2.545
2525,3.5,0.5,0,-2.606
2525,3.5,0.75,0,-2.657
2525,3.5,1,0,-2.701
2525,3.5,-0.25,0,-2.389
2525,3.5,-0.25,0.1,-2.345
2525,3.5,-0.5,0,-2.291
2525,3.5,-0.5,0.2,-2.245
2525,3.5,-0.75,0,-2.175
2525,3.5,-0.75,0.3,-2.161
2525,3.5,-1,0,-2.038
2525,3.5,-1,0.4,-2.086
2525,3.5,-1.5,0,-1.714
2525,3.5,-1.5,0.4,-1.876
2525,3.5,-2,0,-1.372
2525,3.5,-2,0.4,-1.577
2525,3.5,-2.5,0,-1.065
2525,3.5,-2.5,0.4,-1.242
2525,3.5,-3,0.4,-0.936
2525,3.5,-3.5,0,-0.594
2525,4,0,0,-2.483
2525,4,0.25,0,-2.541
2525,4,0.5,0,-2.578
2525,4,0.75,0,-2.596
2525,4,1,0,-2.596
2525,4,-0.25,0,-2.402
2525,4,-0.25,0.1,-2.356
2525,4,-0.5,0,-2.292
2525,4,-0.5,0.2,-2.255
2525,4,-0.75,0,-2.153
2525,4,-0.75,0.3,-2.167
2525,4,-1,0,-1.99
2525,4,-1,0.4,-2.084
2525,4,-1.5,0,-1.625
2525,4,-1.5,0.4,-1.823
2525,4,-2,0,-1.263
2525,4,-2,0.4,-1.476
2525,4,-2.5,0,-0.943
2525,4,-2.5,0.4,-1.116
2525,4,-3,0.4,-0.798
2525,4.5,0,0,-2.507
2525,4.5,0.25,0,-2.567
2525,4.5,0.5,0,-2.595
2525,4.5,0.75,0,-2.596
2525,4.5,1,0,-2.573
2525,4.5,-0.25,0,-2.411
2525,4.5,-0.25,0.1,-2.373
2525,4.5,-0.5,0,-2.278
2525,4.5,-0.75,0,-2.112
2525,4.5,-0.75,0.3,-2.162
2525,4.5,-1,0,-1.926
2525,4.5,-1,0.4,-2.062
2525,4.5,-1.5,0,-1.531
2525,4.5,-1.5,0.4,-1.743
2525,4.5,-2,0,-1.155
2525,4.5,-2,0.4,-1.361
2525,4.5,-2.5,0,-0.829
2525,4.5,-2.5,0.4,-0.988
2525,5,0,0,-2.527
2525,5,0.25,0,-2.601
2525,5,0.5,0,-2.633
2525,5,0.75,0,-2.63
2525,5,1,0,-2.594
2525,5,-0.25,0,-2.407
2525,5,-0.5,0,-2.247
2525,5,-0.5,0.2,-2.256
2525,5,-0.75,0,-2.059
2525,5,-0.75,0.3,-2.137
2525,5,-1,0,-1.855
2525,5,-1.5,0,-1.439
2525,5,-1.5,0.4,-1.647
2525,5,-2,0,-1.055
2525,5,-2,0.4,-1.241
2525,5,-2.5,0.4,-0.863
2525,5.5,0,0,-2.533
2525,5.5,0.25,0,-2.631
2525,5.5,0.5,0,-2.679
2525,5.5,0.75,0,-2.679
2525,5.5,1,0,-2.642
2525,5.5,-0.25,0,-2.388
2525,5.5,-0.25,0.1,-2.376
2525,5.5,-0.5,0,-2.206
2525,5.5,-0.5,0.2,-2.234
2525,5.5,-0.75,0,-2.001
2525,5.5,-0.75,0.3,-2.096
2525,5.5,-1,0,-1.785
2525,5.5,-1,0.4,-1.955
2525,5.5,-1.5,0,-1.356
2525,5.5,-2,0,-0.963
2525,5.5,-2,0.4,-1.125
2550,3.5,0,0,-2.414
2550,3.5,0.25,0,-2.489
2550,3.5,0.5,0,-2.556
2550,3.5,0.75,0,-2.616
2550,3.5,1,0,-2.672
2550,3.5,-0.25,0,-2.33
2550,3.5,-0.25,0.1,-2.29
2550,3.5,-0.5,0,-2.233
2550,3.5,-0.5,0.2,-2.194
2550,3.5,-0.75,0,-2.123
2550,3.5,-1,0,-1.992
2550,3.5,-1,0.4,-2.04
2550,3.5,-1.5,0,-1.681
2550,3.5,-1.5,0.4,-1.838
2550,3.5,-2,0,-1.352
2550,3.5,-2,0.4,-1.551
2550,3.5,-2.5,0,-1.056
2550,3.5,-2.5,0.4,-1.226
2550,3.5,-3,0.4,-0.93
2550,3.5,-3.5,0,-0.598
2550,4,0,0,-2.422
2550,4,0.25,0,-2.481
2550,4,0.5,0,-2.522
2550,4,0.75,0,-2.546
2550,4,1,0,-2.553
2550,4,-0.25,0,-2.342
2550,4,-0.25,0.1,-2.3
2550,4,-0.5,0,-2.236
2550,4,-0.5,0.2,-2.203
2550,4,-0.75,0,-2.104
2550,4,-0.75,0.3,-2.119
2550,4,-1,0,-1.948
2550,4,-1,0.4,-2.04
2550,4,-1.5,0.4,-1.79
2550,4,-2,0,-1.247
2550,4,-2,0.4,-1.455
